"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","CCs","Add. CCs","ACs","Add. ACs","CL/AL/DTMs","Add. CL/AL/DTMs","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s","Level 5s","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"40","A","01","00000405","Dayton Toastmasters Club","Active","20","19","6","0","0","1","2","1","2","2","1","0","0","0","0","2","0","7","5","1","1","1",""
"40","A","01","00000405","Dayton Toastmasters Club","Active","20","19","6","0","0","1","2","1","2","2","1","0","0","0","0","2","0","7","5","1","1","1",""
"40","A","01","00000747","City of Dayton Toastmasters Club","Suspended","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","A","01","00000747","City of Dayton Toastmasters Club","Suspended","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","A","01","00001108","Kittyhawk Club","Active","16","10","3","0","0","0","0","1","0","0","0","0","0","0","0","2","0","5","4","1","0","1",""
"40","A","01","00001108","Kittyhawk Club","Active","16","10","3","0","0","0","0","1","0","0","0","0","0","0","0","2","0","5","4","1","0","1",""
"40","A","01","01331177","Downtown Morning Toasters","Active","25","27","4","1","0","0","0","0","0","1","2","0","1","0","0","4","2","5","5","1","1","1",""
"40","A","01","01331177","Downtown Morning Toasters","Active","25","27","4","1","0","0","0","0","0","1","2","0","1","0","0","4","2","5","5","1","1","1",""
"40","A","01","02158270","Heartbeat Toastmasters","Active","24","17","6","0","0","0","0","1","0","1","2","0","2","0","0","4","2","7","4","1","1","2",""
"40","A","01","02158270","Heartbeat Toastmasters","Active","24","17","6","0","0","0","0","1","0","1","2","0","2","0","0","4","2","7","4","1","1","2",""
"40","A","02","00001242","Huffman Prairie Toastmasters Club","Active","13","17","4","0","0","0","0","0","0","1","1","0","1","1","0","4","3","6","7","1","1","1",""
"40","A","02","00001242","Huffman Prairie Toastmasters Club","Active","13","17","4","0","0","0","0","0","0","1","1","0","1","1","0","4","3","6","7","1","1","1",""
"40","A","02","00002421","Beacon Toastmasters Club","Active","13","12","2","0","0","0","0","0","0","2","1","0","1","0","0","3","0","7","7","1","1","1",""
"40","A","02","00002421","Beacon Toastmasters Club","Active","13","12","2","0","0","0","0","0","0","2","1","0","1","0","0","3","0","7","7","1","1","1",""
"40","A","02","00004532","Wright-Flyers ","Active","22","12","8","0","0","1","1","1","1","2","2","1","3","1","2","3","0","4","6","1","0","1",""
"40","A","02","00004532","Wright-Flyers ","Active","22","12","8","0","0","1","1","1","1","2","2","1","3","1","2","3","0","4","6","1","0","1",""
"40","A","02","00008187","Tarmac Toastmasters Club","Active","11","10","3","0","0","0","0","0","0","0","0","0","1","1","0","1","0","4","4","1","0","1",""
"40","A","02","00008187","Tarmac Toastmasters Club","Active","11","10","3","0","0","0","0","0","0","0","0","0","1","1","0","1","0","4","4","1","0","1",""
"40","A","02","07017426","Leaders on the Rise","Active","12","12","3","0","0","0","0","0","0","0","0","0","0","0","0","4","2","5","4","1","0","1",""
"40","A","02","07017426","Leaders on the Rise","Active","12","12","3","0","0","0","0","0","0","0","0","0","0","0","0","4","2","5","4","1","0","1",""
"40","A","02","07273470","Wright Way Toastmasters","Active","20","11","3","0","0","0","0","0","0","2","1","0","0","0","0","4","1","5","7","0","1","1",""
"40","A","02","07273470","Wright Way Toastmasters","Active","20","11","3","0","0","0","0","0","0","2","1","0","0","0","0","4","1","5","7","0","1","1",""
"40","A","03","00000553","Megacity Toastmasters Club","Active","8","10","5","0","0","1","0","0","0","4","1","0","1","0","0","4","0","5","5","1","1","1",""
