"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Level 5s, or DTM award","Add. Level 4s, Level 5s, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"40","A","01","00000405","Dayton Toastmasters Club","Active","14","20","6","1","0","0","0","1","1","4","5","5","4","1","1","1",""
"40","A","01","00001694","Dayton United Communicators Club","Active","20","18","6","1","2","0","2","1","4","3","0","7","7","1","1","1",""
"40","A","01","00588286","Dayton Top Mentors Toastmasters Club","Active","10","13","4","1","0","0","0","1","1","3","0","7","7","1","1","1",""
"40","A","01","01331177","Downtown Morning Toasters","Active","20","27","8","5","2","1","3","1","3","4","3","6","5","1","1","1",""
"40","A","01","02158270","Heartbeat Toastmasters","Active","8","10","1","0","0","0","0","0","0","2","0","4","1","1","0","1",""
"40","A","02","00002421","Beacon Toastmasters Club","Active","9","9","3","1","0","0","1","1","0","1","0","6","5","1","1","1",""
"40","A","02","00004532","Wright-Flyers ","Active","8","8","1","0","0","0","0","0","0","0","0","4","4","1","1","0",""
"40","A","02","00008187","Tarmac Toastmasters Club","Active","12","12","3","0","1","0","0","1","0","0","0","5","4","1","1","1",""
"40","A","02","07273470","Wright Way Toastmasters","Active","23","24","5","2","1","0","0","1","1","4","3","5","7","1","1","1",""
"40","A","03","00000553","Megacity Toastmasters Club","Suspended","7","4","0","0","0","0","0","0","0","0","0","5","0","0","0","0",""
"40","A","03","00001740","Miami Valley Toastmasters","Active","11","8","0","0","0","0","0","0","0","1","0","0","3","0","0","0",""
"40","A","03","00002120","Kettering Toastmasters Club","Active","11","10","1","1","0","0","0","0","0","2","0","3","5","1","0","1",""
"40","A","03","00631540","Springboro Toastmasters","Active","20","20","6","1","0","0","2","1","1","4","2","5","6","1","1","1",""
"40","A","03","07264780","Synchrony – CWC","Active","26","31","10","9","2","2","2","1","4","4","10","5","4","1","1","1",""
"40","A","04","00001206","RELX Communicators","Low","10","7","2","0","0","0","0","1","0","0","0","5","4","0","0","1",""
"40","A","04","00001238","Greenville Club","Suspended","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","A","04","00004341","Lima Eye Openers Club","Low","8","7","0","0","0","0","0","0","0","1","0","1","0","0","0","1",""
"40","A","04","00007241","Hi-Point Club","Active","9","9","3","0","0","0","0","1","1","2","0","6","1","1","0","1",""
