"District","Division","Area","Club Number","Club Name","Club Status","Mem. Base","Active Members","Goals Met","CCs","Add. CCs","ACs","Add. ACs","CL/AL/DTMs","Add. CL/AL/DTMs","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"40","A","01","00000405","Dayton Toastmasters Club","Active","19","10","7","0","0","1","0","1","1","4","5","6","4","1","1","1",""
"40","A","01","00000747","City of Dayton Toastmasters Club","Active","7","6","1","1","0","1","0","0","0","3","0","0","1","1","1","0",""
"40","A","01","00001108","Kittyhawk Club","Active","10","9","3","1","0","0","0","0","0","4","1","7","6","1","1","1",""
"40","A","01","01330791","Sinclair","Active","9","2","3","2","0","0","0","1","0","4","1","3","0","0","0","1",""
"40","A","01","01331177","Downtown Morning Toasters","Active","21","21","9","2","2","1","1","1","5","4","6","6","3","1","1","1","P"
"40","A","02","00001242","Huffman Prairie Toastmasters Club","Active","21","15","4","0","0","0","0","1","2","1","0","7","6","1","1","1",""
"40","A","02","00004532","Wright-Flyers ","Active","10","11","4","1","0","1","0","0","0","4","4","7","3","1","1","1",""
"40","A","02","00005586","Command Performers Club","Active","6","0","0","0","0","0","0","0","0","1","0","2","0","0","0","1",""
"40","A","02","00008187","Tarmac Toastmasters Club","Active","11","14","4","1","0","1","0","0","0","4","1","7","4","1","1","1",""
"40","A","03","00000553","Megacity Toastmasters Club","Active","11","9","5","2","0","0","0","1","0","4","1","7","5","1","1","1",""
"40","A","03","00001740","Miami Valley Toastmasters","Active","22","17","5","0","0","0","0","1","1","4","2","7","6","1","1","1","D"
"40","A","03","00002120","Kettering Toastmasters Club","Active","26","16","5","2","2","0","0","1","0","3","0","6","4","1","1","1",""
"40","A","03","00631540","Springboro Coffee Talk","Active","13","13","3","0","0","0","0","0","0","4","1","4","5","1","1","1",""
"40","A","04","00001210","Hogge Creek Club","Suspended","7","5","1","0","0","0","0","0","0","0","0","4","4","0","0","1",""
"40","A","04","00004341","Lima Eye Openers Club","Active","7","8","0","1","0","0","0","0","0","3","0","0","0","1","0","0",""
"40","A","04","00005136","Grand Lake Toastmasters Club","Active","8","8","2","0","0","0","0","0","0","2","0","7","6","1","1","1",""
"40","A","04","00008144","Shelby County Club","Active","12","10","1","1","0","0","0","0","0","3","0","4","2","1","1","1",""
"40","A","04","01739738","Emerson Climate Toastmasters","Active","22","22","5","2","0","0","0","1","0","4","11","3","3","1","1","2","D"
"40","A","05","00000655","Kanpai Club","Suspended","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","A","05","00002159","Aquinas Toastmasters Club","Active","14","8","2","0","0","0","0","0","0","2","0","6","4","1","1","1",""
"40","A","05","00585063","Springfield Toastmasters Club","Active","24","20","7","2","0","1","3","1","6","2","0","5","6","1","1","1","S"
"40","A","05","00635245","Leaders on the Rise Toastmasters Club","Low","12","3","2","0","0","0","0","0","0","4","3","0","0","1","0","1",""
"40","A","05","02229805","Hartzell Toastmasters","Suspended","32","0","1","0","0","0","0","0","0","4","2","0","0","0","0","0",""
"40","A","06","00002421","Beacon Club","Active","22","26","4","1","0","0","0","0","0","4","7","4","4","1","1","1",""
"40","A","06","00002838","Xenia Toastmasters Club","Suspended","9","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1",""
"40","A","06","00008263","Presidential Drive Toastmasters","Suspended","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"40","A","06","00588286","Dayton Top Mentors Toastmasters Club","Active","10","10","2","0","0","0","0","0","0","3","0","7","7","1","1","1",""
"40","A","06","00732139","Wright State Toastmasters","Active","10","6","2","2","0","0","0","0","0","4","3","2","4","0","0","1",""
"40","A","07","00001206","Mid Day Cabaret Club","Active","21","13","8","2","2","1","1","1","6","4","1","6","3","1","1","1",""
"40","A","07","00003255","Mound Club","Active","8","9","1","0","0","0","0","0","0","1","0","0","0","1","1","1",""
"40","A","07","00940665","Toastmasters @ 9797","Active","14","13","4","1","0","0","0","1","2","4","0","6","0","1","1","1",""
"40","A","07","01126147","LJB Toastmasters","Active","26","28","1","0","0","0","0","0","0","2","0","0","0","1","1","1",""
"40","A","08","00001238","Greenville Club","Active","22","16","5","2","0","0","0","1","3","2","0","6","5","1","1","1",""
"40","A","08","00009297","Vandalia Toastmasters Club","Active","8","9","2","0","0","0","0","0","0","3","0","4","6","1","1","1",""
"40","A","08","01523655","Wayne HealthCare Toastmasters","Suspended","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",""
"40","A","08","02298717","Speakers of the Firehouse","Suspended","23","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1",""
"40","A","09","00001694","Dayton United Communicators Club","Active","11","9","5","2","0","0","0","0","0","4","4","6","4","1","1","1",""
