"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"40","A","01","00000405","Dayton Toastmasters Club","8","0","13","3","16","0","24","",""
"40","A","01","00001694","Dayton United Communicators Club","3","0","16","4","20","0","23","",""
"40","A","01","00588286","Dayton Top Mentors Toastmasters Club","3","0","12","12","24","0","27","",""
"40","A","01","01331177","Downtown Morning Toasters","6","0","20","0","20","0","26","",""
"40","A","01","02158270","Heartbeat Toastmasters","2","0","8","1","9","0","11","",""
"40","A","02","00002421","Beacon Toastmasters Club","1","0","9","0","9","0","10","",""
"40","A","02","00004532","Wright-Flyers ","0","0","8","0","8","0","8","",""
"40","A","02","00008187","Tarmac Toastmasters Club","0","0","12","4","16","0","16","",""
"40","A","02","07273470","Wright Way Toastmasters","6","0","19","1","20","0","26","",""
"40","A","03","00000553","Megacity Toastmasters Club","0","0","4","0","4","0","4",""," Susp 09/30/22"
"40","A","03","00001740","Miami Valley Toastmasters","1","0","7","0","7","0","8","",""
"40","A","03","00002120","Kettering Toastmasters Club","1","0","9","2","11","0","12","",""
"40","A","03","00631540","Springboro Toastmasters","4","0","14","4","18","0","22","",""
"40","A","03","07264780","Synchrony – CWC","12","0","17","0","17","0","29","",""
"40","A","04","00001206","RELX Communicators","0","0","7","0","7","0","7","",""
"40","A","04","00001238","Greenville Club","0","4","0","0","4","0","4",""," Susp 10/01/22"
"40","A","04","00004341","Lima Eye Openers Club","1","0","6","1","7","0","8","",""
"40","A","04","00007241","Hi-Point Club","1","0","8","0","8","0","9","",""
"40","A","04","01739738","Emerson Toastmasters - Sidney, Ohio","3","0","13","1","14","0","17","",""
"40","A","04","04334989","Crown Toastmasters","0","23","24","0","47","0","47","",""
"40","A","05","00585063","Springfield Toastmasters Club","7","0","14","0","14","0","21","",""
"40","A","05","05124110","Miami County Toastmasters","2","0","9","1","10","0","12","",""
"40","A","05","06547513","Cause-Driven Toastmasters","0","0","0","0","0","0","0",""," Susp 09/30/22"
"40","A","05","06793986","Assurant-Springfield Toastmasters","15","0","7","0","7","0","22","",""
"40","A","05","07017426","Leaders on the Rise","2","0","6","2","8","0","10","",""
"40","B","11","00000214","Greater Columbus Toastmasters","4","0","11","1","12","0","16","",""
"40","B","11","00000859","Northwest Club","0","0","8","1","9","0","9","",""
"40","B","11","02116422","Hikma Professionals","0","0","0","0","0","0","0",""," Susp 09/30/22"
"40","B","11","02451490","2Checkout","1","0","7","0","7","0","8","",""
"40","B","11","05168204","Grove City Toastmasters","1","0","10","0","10","0","11","",""
"40","B","12","00000478","OCLC Toastmasters Club","0","0","12","1","13","0","13","",""
"40","B","12","01825615","Progressive Speaking Club","8","0","17","3","20","0","28","",""
"40","B","12","02884105","Dublin Premier TM Club","9","0","9","2","11","0","20","",""
"40","B","12","03374578","Dynamic  Growth Toastmasters","2","0","8","1","9","0","11","",""
"40","B","12","07219299","Radiant Toastmasters","2","0","9","0","9","0","11","",""
"40","B","14","00002246","Excellcomm Club","2","0","5","0","5","0","7","",""
"40","B","14","00004158","Hilliard Toastmasters Club","1","0","4","1","5","0","6","",""
"40","B","14","01131982","Premier Toastmasters","5","0","8","2","10","0","15","",""
"40","B","14","01276053","Essential To Leadership","1","0","7","0","7","0","8","",""
"40","B","15","01293737","MY CATALYST TMC","4","0","10","3","13","0","17","",""
"40","B","15","01508639","Scotts Gro-Masters","1","0","8","0","8","0","9","",""
"40","B","15","04181643","Dublin Advanced Toastmasters","3","0","8","1","9","0","12","",""
"40","B","15","07330683","TM-one Toastmasters","1","0","17","0","17","0","18","",""
"40","B","18","00000959","Columbus Toastmasters Club","1","0","6","0","6","0","7","",""
"40","B","18","00004695","Unity Club","0","0","0","0","0","0","0","",""
"40","B","18","00004915","Central Ohio Advanced Club","1","0","14","2","16","0","17","",""
"40","B","18","03375045","OHFA Toastmasters","6","0","8","0","8","0","14","",""
"40","B","18","06137312","Franklin County Communicators","1","0","9","1","10","0","11","",""
"40","B","18","06743347","Toastmasters International At OSU","2","0","8","0","8","0","10","",""
"40","B","19","00001028","Worthington Toastmasters","5","0","10","1","11","0","16","",""
"40","B","19","00003885","Podium Pros Toastmasters Club","11","0","22","1","23","0","34","",""
"40","B","19","00005156","Delaware Toastmasters","5","0","19","0","19","0","24","",""
"40","B","19","00656587","Polaris Toastmasters Club","0","0","0","0","0","0","0",""," Susp 09/30/22"
"40","B","19","02289063","Toast What Matters","9","0","7","6","13","0","22","",""
"40","B","19","03812990","Eagles Toastmasters","5","0","15","1","16","0","21","",""
"40","C","22","00000511","Newark-Granville Club 511","2","0","6","0","6","0","8","",""
"40","C","22","00003182","New Albany Toastmasters","0","0","0","0","0","0","0",""," Susp 09/30/22"
"40","C","22","01293730","New Albany Communicators","3","0","6","1","7","0","10","",""
"40","C","22","07944721","Revlocal Toastmasters","2","0","13","0","13","0","15","",""
"40","C","23","00000524","Franklin Club","14","0","20","3","23","0","37","",""
"40","C","23","00647621","SOAR Toastmasters Club","0","0","8","0","8","0","8","",""
"40","C","23","00707357","The Athenian Toastmasters Club","2","0","7","0","7","0","9","",""
"40","C","23","01477745","TEAM Toastmasters Club","4","0","15","1","16","0","20","",""
"40","C","23","07519962","Huntington  Toastmasters","5","0","13","0","13","0","18","",""
"40","C","24","00008226","Gahanna Club","0","0","8","0","8","0","8","",""
"40","C","24","01030644","Kilowattmasters","3","1","7","2","10","0","13","",""
"40","C","24","03646317","ENCORE Toastmasters","2","0","12","1","13","0","15","",""
"40","C","24","06098333","Reynoldsburg Toastmasters","1","0","9","0","9","0","10","",""
"40","C","25","00003002","Columbus-Whitehall Club","4","0","6","0","6","0","10","",""
"40","C","25","00003500","AGOISSI Toastmasters Club","7","0","21","5","26","0","33","",""
"40","C","25","04410308","Defensively Speaking","0","0","8","1","9","0","9","",""
"40","C","25","07836455","Rise Higher Advanced Toastmasters Club","0","0","8","2","10","0","10","",""
"40","C","27","00000753","Nationwide","1","1","9","0","10","0","11","",""
"40","C","27","00005155","Down On Third Toastmasters Club","0","0","0","0","0","0","0",""," Susp 09/30/22"
"40","C","27","00621016","Brewery District Club","11","0","22","3","25","0","36","",""
"40","C","27","00952869","1RP Toastmasters - For AEP Employees and Contractors","4","0","19","4","23","0","27","",""
