"District","Division","Area","Club","Club Name","October Renewals","April Renewals","Nov Visit award","May Visit award","Membership to date","Club Goals Met","Distinguished Club","Area Club Base","Area Paid Club Goal for Dist.","Area Paid Club Goal for Select Dist.","Area Paid Club Goal for Pres. Dist.","Total Paid Area Clubs","Area Dist. Club Goal for Dist.","Area Dist. Club Goal for Select Dist.","Area Dist. Club Goal for Pres. Dist.","Total Dist. Area Clubs","Distinguished Area","Division Club Base","Division Paid Club Goal for Dist.","Division Paid Club Goal for Select Dist.","Division Paid Club Goal for Pres. Dist.","Total Paid Division Clubs","Division Dist. Club Goal for Dist.","Division Dist. Club Goal for Select Dist.","Division Dist. Club Goal for Pres. Dist.","Total Dist. Division Clubs","Distinguished Division","Charter Date/Suspend Date"
"40","A","01","00000405","Dayton Toastmasters Club","1","1","1","0","13","3","","5","5","5","6","5","3","4","4","1","","33","33","33","34","29","14","15","17","5","",""
"40","A","01","00000747","City of Dayton Toastmasters Club","1","1","1","0","8","5","","5","5","5","6","5","3","4","4","1","","33","33","33","34","29","14","15","17","5","",""
"40","A","01","00001108","Kittyhawk Club","1","1","1","0","12","2","","5","5","5","6","5","3","4","4","1","","33","33","33","34","29","14","15","17","5","",""
"40","A","01","01330791","Sinclair","1","1","1","0","10","1","","5","5","5","6","5","3","4","4","1","","33","33","33","34","29","14","15","17","5","",""
"40","A","01","01331177","Downtown Morning Toasters","1","1","1","0","27","8","S","5","5","5","6","5","3","4","4","1","","33","33","33","34","29","14","15","17","5","",""
"40","A","02","00001242","Huffman Prairie Toastmasters Club","1","1","1","0","16","6","","5","5","5","6","4","3","4","4","2","","33","33","33","34","29","14","15","17","5","",""
"40","A","02","00002421","Beacon Club","1","1","1","0","21","7","S","5","5","5","6","4","3","4","4","2","","33","33","33","34","29","14","15","17","5","",""
"40","A","02","00004532","Wright-Flyers ","1","1","1","0","14","9","P","5","5","5","6","4","3","4","4","2","","33","33","33","34","29","14","15","17","5","",""
"40","A","02","00005586","Command Performers Club","0","0","0","0","0","0","","5","5","5","6","4","3","4","4","2","","33","33","33","34","29","14","15","17","5","",""
"40","A","02","00008187","Tarmac Toastmasters Club","1","1","1","0","9","3","","5","5","5","6","4","3","4","4","2","","33","33","33","34","29","14","15","17","5","",""
"40","A","02","00732139","Wright State Toastmasters","1","0","1","0","5","1","","5","5","5","6","4","3","4","4","2","","33","33","33","34","29","14","15","17","5","",""
"40","A","03","00000553","Megacity Toastmasters Club","1","1","1","1","14","2","","5","5","5","6","5","3","4","4","2","","33","33","33","34","29","14","15","17","5","",""
"40","A","03","00001740","Miami Valley Toastmasters","1","1","1","0","16","3","","5","5","5","6","5","3","4","4","2","","33","33","33","34","29","14","15","17","5","",""
"40","A","03","00002120","Kettering Toastmasters Club","1","1","1","0","25","5","D","5","5","5","6","5","3","4","4","2","","33","33","33","34","29","14","15","17","5","",""
"40","A","03","00631540","Springboro Coffee Talk","1","1","1","0","9","2","","5","5","5","6","5","3","4","4","2","","33","33","33","34","29","14","15","17","5","",""
"40","A","03","02615720","WINning Communicators","1","1","1","0","28","6","D","5","5","5","6","5","3","4","4","2","","33","33","33","34","29","14","15","17","5","",""
"40","A","04","00001238","Greenville Club","1","1","1","1","13","3","","5","5","5","6","4","3","4","4","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","04","00004341","Lima Eye Openers Club","1","0","1","1","7","0","","5","5","5","6","4","3","4","4","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","04","00005136","Grand Lake Toastmasters Club","1","1","1","1","13","3","","5","5","5","6","4","3","4","4","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","04","00007241","Hi-Point Club","1","1","1","1","10","2","","5","5","5","6","4","3","4","4","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","04","00008144","Shelby County Club","1","0","1","1","0","1","","5","5","5","6","4","3","4","4","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","04","04334989","Crown Toastmasters","0","1","0","1","61","3","","5","5","5","6","4","3","4","4","0","","33","33","33","34","29","14","15","17","5","","Charter 12/08/14"
"40","A","05","00002159","Aquinas Toastmasters Club","1","1","1","0","9","2","","4","4","4","5","4","2","3","3","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","05","00009297","Vandalia Toastmasters Club","1","1","1","0","10","3","","4","4","4","5","4","2","3","3","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","05","00585063","Springfield Toastmasters Club","1","1","1","0","19","7","","4","4","4","5","4","2","3","3","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","05","01739738","Emerson Climate Toastmasters","1","1","1","0","16","2","","4","4","4","5","4","2","3","3","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","06","00001694","Dayton United Communicators Club","1","1","1","1","9","2","","4","4","4","5","3","2","3","3","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","06","00588286","Dayton Top Mentors Toastmasters Club","1","1","1","1","9","4","","4","4","4","5","3","2","3","3","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","06","01216711","CMG Headliners","0","0","0","0","0","0","","4","4","4","5","3","2","3","3","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","06","01323782","Deloitte Dayton Office Toastmasters","1","0","1","1","0","2","","4","4","4","5","3","2","3","3","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","06","02158270","Heartbeat Toastmasters","1","1","1","1","13","7","","4","4","4","5","3","2","3","3","0","","33","33","33","34","29","14","15","17","5","",""
"40","A","07","00001206","Mid Day Cabaret Club","1","1","0","0","14","4","","5","5","5","6","4","3","4","4","0","","33","33","33","34","29","14","15","17","5","",""
