Club,Division,Area,List Status,Election,Name
00002391,E,41,Received - 12/30/2022,Semiannual,Lexington Toastmasters Club
00002949,E,41,Received - 01/23/2023,Semiannual,Sunrise Toastmasters Club
00007305,E,43,Received - 12/21/2022,Semiannual,Downtown Lunch Bunch Toastmasters Club
00585063,A,5,Received - 01/30/2023,Semiannual,Springfield Toastmasters Club
00907534,D,31,Received - 12/29/2022,Semiannual,FTMT on Campus
01299268,D,36,List Not Here,Semiannual,Miami Masters Toastmasters Club
01739738,A,4,Received - 01/24/2023,Semiannual,"Emerson Toastmasters - Sidney, Ohio"
01990654,E,43,Received - 11/15/2022,Semiannual,Midway Toastmasters
03663553,E,41,Received - 01/01/2023,Semiannual,Big Blue Toastmasters
00000214,B,11,Received - 06/08/2022,Annual,Greater Columbus Toastmasters
00000405,A,1,Received - 06/22/2022,Annual,Dayton Toastmasters Club
00000453,D,31,Received - 05/26/2022,Annual,Pioneer Toastmasters Club
00000472,D,38,Received - 06/29/2022,Annual,Cincinnati Toastmasters
00000478,B,12,Received - 06/20/2022,Annual,OCLC Toastmasters Club
00000511,C,22,Received - 09/17/2022,Annual,Newark-Granville Club 511
00000524,C,23,Received - 05/25/2022,Annual,Franklin Club
00000753,C,27,Received - 07/08/2022,Annual,Nationwide
00000859,B,11,Received - 06/24/2022,Annual,Northwest Club
00000870,D,36,Received - 05/17/2022,Annual,Tri-County Toastmasters Club
00000959,B,18,Received - 06/24/2022,Annual,Columbus Toastmasters Club
00001028,B,19,Received - 06/05/2022,Annual,Worthington Toastmasters
00001206,A,4,Received - 06/02/2022,Annual,RELX Communicators
00001223,E,44,Received - 05/09/2022,Annual,Triangle Toastmasters Club
00001249,E,46,Received - 06/17/2022,Annual,Life Enriching Toastmasters
00001578,D,38,Received - 06/16/2022,Annual,Seven Hills of Cincinnati Toastmasters
00001694,A,1,Received - 05/05/2022,Annual,Dayton United Communicators Club
00001740,A,3,Received - 09/15/2022,Annual,Miami Valley Toastmasters
00001802,C,28,Received - 09/21/2022,Annual,Mid-Day Club
00001941,E,47,Received - 06/15/2022,Annual,Anderson Hills Toastmasters Club
00002120,A,3,Received - 06/29/2022,Annual,Kettering Toastmasters Club
00002246,B,14,Received - 07/20/2022,Annual,Excellcomm Club
00002289,D,39,Received - 06/01/2022,Annual,T.A.L.K. Club
00002391,E,41,Received - 06/28/2022,Semiannual,Lexington Toastmasters Club
00002421,A,2,Received - 05/03/2022,Annual,Beacon Toastmasters Club
00002869,E,41,Received - 09/30/2022,Annual,Huntington Centennial Toastmasters Club
00002949,E,41,Received - 06/07/2022,Semiannual,Sunrise Toastmasters Club
00003002,C,25,Received - 06/15/2022,Annual,Columbus-Whitehall Club
00003456,D,38,List Not Here,Annual,Standing Room Only
00003459,E,47,Received - 07/04/2022,Annual,Great American Speakers Club
00003500,C,25,Received - 06/14/2022,Annual,AGOISSI Toastmasters Club
00003804,D,39,Received - 05/05/2022,Annual,The Kings Speech
00003885,B,19,Received - 06/27/2022,Annual,Podium Pros Toastmasters Club
00004097,E,43,Received - 06/30/2022,Annual,Madco Club
00004158,B,14,Received - 06/20/2022,Annual,Hilliard Toastmasters Club
00004251,D,37,Received - 06/23/2022,Annual,Cincinnati Talk In the Park
00004341,A,4,Received - 06/22/2022,Annual,Lima Eye Openers Club
00004532,A,2,Received - 07/20/2022,Annual,Wright-Flyers
00004695,B,18,Received - 07/28/2022,Annual,Unity Club
00004915,B,18,Received - 06/14/2022,Annual,Central Ohio Advanced Club
00005008,D,39,Received - 05/30/2022,Annual,Mason Town Criers Toastmasters Club
00005156,B,19,Received - 06/11/2022,Annual,Delaware Toastmasters
